iso3,indicator,year,age,residence,wealth_quintile,value,OfficialName,Status.U5MR,total_birth
ETH,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,72.1,Ethiopia,Acceleration Needed,3928
ETH,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,49.8,Ethiopia,Acceleration Needed,3928
FIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.5,Finland,Achieved,47
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T19: 15 to 19 years old,_T: Total,_T: Total,79.3,Fiji,Acceleration Needed,18
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,90.7,Fiji,Acceleration Needed,18
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,87.1,Fiji,Acceleration Needed,18
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,84.8,Fiji,Acceleration Needed,18
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,90.7,Fiji,Acceleration Needed,18
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,91.2,Fiji,Acceleration Needed,18
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,R: Rural,_T: Total,91.4,Fiji,Acceleration Needed,18
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,U: Urban,_T: Total,86.6,Fiji,Acceleration Needed,18
FJI,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,88.7,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T19: 15 to 19 years old,_T: Total,_T: Total,100,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,99.5,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,100,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,100,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,99.6,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,100,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,R: Rural,_T: Total,99.7,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,U: Urban,_T: Total,99.9,Fiji,Acceleration Needed,18
FJI,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.8,Fiji,Acceleration Needed,18
FRA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,98.2,France,Achieved,673
GEO,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,85.2,Georgia,Achieved,49
GEO,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.8,Georgia,Achieved,49
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,78.1,Ghana,Acceleration Needed,907
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,75.9,Ghana,Acceleration Needed,907
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,81.5,Ghana,Acceleration Needed,907
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,82.3,Ghana,Acceleration Needed,907
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,91.3,Ghana,Acceleration Needed,907
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,95.4,Ghana,Acceleration Needed,907
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,R: Rural,_T: Total,81.2,Ghana,Acceleration Needed,907
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,U: Urban,_T: Total,90.3,Ghana,Acceleration Needed,907
GHA,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,85,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,74.7,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,63.4,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,71.7,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,77.4,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,87.3,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,96.8,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,R: Rural,_T: Total,70.7,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,U: Urban,_T: Total,90,Ghana,Acceleration Needed,907
GHA,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,78.9,Ghana,Acceleration Needed,907
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T19: 15 to 19 years old,_T: Total,_T: Total,56,Guinea,Acceleration Needed,469
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,43.6,Guinea,Acceleration Needed,469
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,49.7,Guinea,Acceleration Needed,469
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,54.7,Guinea,Acceleration Needed,469
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,70.2,Guinea,Acceleration Needed,469
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,78.8,Guinea,Acceleration Needed,469
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,R: Rural,_T: Total,50.7,Guinea,Acceleration Needed,469
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,U: Urban,_T: Total,78.4,Guinea,Acceleration Needed,469
GIN,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,58.3,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T19: 15 to 19 years old,_T: Total,_T: Total,59.2,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,26.5,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,40.5,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,50.9,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,82.1,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,94.9,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,R: Rural,_T: Total,40.7,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,U: Urban,_T: Total,92,Guinea,Acceleration Needed,469
GIN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,55.3,Guinea,Acceleration Needed,469
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T19: 15 to 19 years old,_T: Total,_T: Total,75.8,Gambia,Acceleration Needed,89
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,82.3,Gambia,Acceleration Needed,89
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,75.3,Gambia,Acceleration Needed,89
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,74.1,Gambia,Acceleration Needed,89
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,76.1,Gambia,Acceleration Needed,89
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,85.4,Gambia,Acceleration Needed,89
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,R: Rural,_T: Total,83.3,Gambia,Acceleration Needed,89
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,U: Urban,_T: Total,76.1,Gambia,Acceleration Needed,89
GMB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,78.5,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T19: 15 to 19 years old,_T: Total,_T: Total,86.2,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,71.6,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,80.3,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,85,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,90.4,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,96.1,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,R: Rural,_T: Total,75.4,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,U: Urban,_T: Total,88.3,Gambia,Acceleration Needed,89
GMB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,83.8,Gambia,Acceleration Needed,89
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,80.6,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,72.9,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,77.1,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,85.9,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,81.8,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,88.8,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,79.8,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,83.2,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,80.7,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,61.8,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,40.6,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,43.9,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,44.5,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,63.6,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,91.1,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,43.5,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,81.8,Guinea-Bissau,Acceleration Needed,64
GNB,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,53.8,Guinea-Bissau,Acceleration Needed,64
GRC,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.9,Greece,Achieved,77
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T19: 15 to 19 years old,_T: Total,_T: Total,84.4,Guyana,On Track,16
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,75.1,Guyana,On Track,16
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,87.1,Guyana,On Track,16
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,85.5,Guyana,On Track,16
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,89.8,Guyana,On Track,16
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,91.8,Guyana,On Track,16
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,R: Rural,_T: Total,84.2,Guyana,On Track,16
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,U: Urban,_T: Total,86.1,Guyana,On Track,16
GUY,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,84.7,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T19: 15 to 19 years old,_T: Total,_T: Total,99.1,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,93.2,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,99.6,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,100,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,99.5,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,98.4,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,R: Rural,_T: Total,97.5,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,U: Urban,_T: Total,97.9,Guyana,On Track,16
GUY,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,Y15T49: 15 to 49 years old,_T: Total,_T: Total,97.6,Guyana,On Track,16
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,84.5,Honduras,Achieved,218
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,81,Honduras,Achieved,218
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,86.5,Honduras,Achieved,218
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,87.5,Honduras,Achieved,218
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,92,Honduras,Achieved,218
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,98.9,Honduras,Achieved,218
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,86.7,Honduras,Achieved,218
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,90.4,Honduras,Achieved,218
HND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,88.3,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T19: 15 to 19 years old,_T: Total,_T: Total,93.7,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,83,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,94.3,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,97.5,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,98.9,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,100,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,R: Rural,_T: Total,90.7,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,U: Urban,_T: Total,98.6,Honduras,Achieved,218
HND,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,94.1,Honduras,Achieved,218
HRV,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T49: 15 to 49 years old,_T: Total,_T: Total,97,Croatia,Achieved,34
HRV,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,99.9,Croatia,Achieved,34
IDN,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,Y15T49: 15 to 49 years old,_T: Total,_T: Total,94.7,Indonesia,Achieved,4462
IND,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,2021,Y15T19: 15 to 19 years old,_T: Total,_T: Total,58.8,India,On Track,23056
